-0.045,-0.215,0.025,
-0.045,-0.215,0.035,
-0.045,-0.215,0.045,
-0.045,-0.205,0.025,
-0.045,-0.205,0.035,
-0.045,-0.205,0.045,
-0.045,-0.195,0.025,
-0.045,-0.195,0.035,
-0.045,-0.195,0.045,
-0.045,-0.185,0.025,
-0.045,-0.185,0.035,
-0.045,-0.185,0.045,
-0.045,-0.175,0.025,
-0.045,-0.175,0.035,
-0.045,-0.175,0.045,
-0.045,-0.165,0.025,
-0.045,-0.165,0.035,
-0.045,-0.165,0.045,
-0.045,-0.155,0.025,
-0.045,-0.155,0.035,
-0.045,-0.155,0.045,
-0.045,-0.145,0.025,
-0.045,-0.145,0.035,
-0.045,-0.145,0.045,
-0.045,-0.135,-0.015,
-0.045,-0.135,-0.005,
-0.045,-0.135,0.005,
-0.045,-0.135,0.015,
-0.045,-0.135,0.025,
-0.045,-0.135,0.035,
-0.045,-0.135,0.045,
-0.045,-0.125,-0.015,
-0.045,-0.125,-0.005,
-0.045,-0.125,0.005,
-0.045,-0.125,0.015,
-0.045,-0.125,0.025,
-0.045,-0.125,0.035,
-0.045,-0.125,0.045,
-0.045,-0.115,-0.015,
-0.045,-0.115,-0.005,
-0.045,-0.115,0.005,
-0.045,-0.115,0.015,
-0.045,-0.115,0.025,
-0.045,-0.115,0.035,
-0.045,-0.105,-0.015,
-0.045,-0.105,-0.005,
-0.045,-0.105,0.005,
-0.045,-0.105,0.015,
-0.045,-0.105,0.025,
-0.045,-0.105,0.035,
-0.045,-0.095,-0.015,
-0.045,-0.095,-0.005,
-0.045,-0.095,0.005,
-0.045,-0.095,0.015,
-0.045,-0.095,0.025,
-0.045,-0.095,0.035,
-0.045,-0.085,-0.015,
-0.045,-0.085,-0.005,
-0.045,-0.085,0.005,
-0.045,-0.085,0.015,
-0.045,-0.085,0.025,
-0.045,-0.085,0.035,
-0.045,-0.075,-0.015,
-0.045,-0.075,-0.005,
-0.045,-0.075,0.005,
-0.045,-0.075,0.015,
-0.045,-0.075,0.025,
-0.045,-0.075,0.035,
-0.045,-0.065,-0.015,
-0.045,-0.065,-0.005,
-0.045,-0.065,0.005,
-0.045,-0.065,0.015,
-0.045,-0.065,0.025,
-0.045,-0.065,0.035,
-0.045,-0.055,-0.015,
-0.045,-0.055,-0.005,
-0.045,-0.055,0.005,
-0.045,-0.055,0.015,
-0.045,-0.055,0.025,
-0.045,-0.055,0.035,
-0.045,-0.045,-0.015,
-0.045,-0.045,-0.005,
-0.045,-0.045,0.005,
-0.045,-0.045,0.015,
-0.045,-0.045,0.025,
-0.045,-0.045,0.035,
-0.045,-0.035,-0.015,
-0.045,-0.035,-0.005,
-0.045,-0.035,0.005,
-0.045,-0.035,0.015,
-0.045,-0.035,0.025,
-0.045,-0.035,0.035,
-0.045,-0.025,-0.015,
-0.045,-0.025,-0.005,
-0.045,-0.025,0.005,
-0.045,-0.025,0.015,
-0.045,-0.025,0.025,
